key,name,subhead,description,rating,rating_count,ingredients,base_flavor
0_bj,SALTED CARAMEL CORE,SWEET CREAM ICE CREAM WITH BLONDE BROWNIES & A SALTED CARAMEL CORE,"FIND YOUR WAY TO THE ULTIMATE ICE CREAM EXPERIENCE WITH OUR CORES. WHETHER YOUR PRIMAL URGES LEAD YOU TO THE CENTER OF SALTED CARAMEL OR DIRECTLY TO THE BLONDE BROWNIES, YOU’LL BE IN TOTAL CONTROL OF YOUR OWN ICE CREAM DESTINY.",3.7,208,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, BROWN SUGAR, SUGAR, MILK, WHEAT FLOUR, EGG YOLKS, CORN SYRUP, EGGS, BUTTER (CREAM, SALT), BUTTEROIL, PECTIN, SEA SALT, SOYBEAN OIL, VANILLA EXTRACT, GUAR GUM, SOY LECITHIN, BAKING POWDER (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORN STARCH, MONOCALCIUM PHOSPHATE), BAKING SODA, SALT, CARRAGEENAN, LACTASE",SWEET CREAM
1_bj,NETFLIX & CHILLL'D™,PEANUT BUTTER ICE CREAM WITH SWEET & SALTY PRETZEL SWIRLS & FUDGE BROWNIES,"THERE’S SOMETHING FOR EVERYONE TO WATCH ON NETFLIX & FLAVORS FOR EVERYONE TO ENJOY FROM BEN & JERRY’S, SO WE’VE TEAMED UP TO BRING YOU A CHILLAXING NEW CREATION THAT’S CERTAIN TO SATISFY ANY SWEET OR SALTY SNACK CRAVING. IT’S A FLAVORFUL WORLD, AND EVERYONE IS INVITED TO GRAB A SPOON.",4.0,127,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, PEANUTS, WHEAT FLOUR, CANOLA OIL, EGG YOLKS, CORN STARCH, PEANUT OIL, COCOA POWDER, SALT, SOYBEAN OIL, INVERT CANE SUGAR, MILK FAT, EGGS, EGG WHITES, GUAR GUM, SOY LECITHIN, TAPIOCA STARCH, BAKING SODA, CARRAGEENAN, VANILLA EXTRACT, BARLEY MALT, MALTED BARLEY FLOUR",PEANUT BUTTER
2_bj,CHIP HAPPENS,A COLD MESS OF CHOCOLATE ICE CREAM WITH FUDGE CHIPS & CRUNCHY POTATO CHIP SWIRLS,"SOMETIMES “CHIP” HAPPENS AND EVERYTHING’S A MESS, BUT WE NAILED IT! WITH THIS CHIP-FILLED LIMITED BATCH. WHEN SMOOTH CHOCOLATE ICE CREAM MEETS FUDGE CHIPS & SALTY SWIRLS, THEY PACK A SERIOUS ONE-TWO CRUNCH. THE BEST PART? THERE WON’T BE ANYTHING LEFT TO CLEAN UP.",4.7,130,"CREAM, LIQUID SUGAR (SUGAR, WATER), SKIM MILK, WATER, SUGAR, COCOA (PROCESSED WITH ALKALI), POTATO, COCONUT OIL, CORN SYRUP SOLIDS, SOYBEAN OIL, EGG YOLKS, RICE STARCH, SUNFLOWER OIL, BARLEY MALT, COCOA POWDER, WHEAT FLOUR, MILK, SALT, SOY LECITHIN, YEAST EXTRACT, NATURAL FLAVOR, GUAR GUM, SEA SALT, MILKFAT, VANILLA EXTRACT, ENZYMES, CARRAGEENAN, BAKING SODA. CONTAINS MILK, EGGS, WHEAT AND SOY",CHOCOLATE
3_bj,CANNOLI,MASCARPONE ICE CREAM WITH FUDGE-COVERED PASTRY SHELL PIECES & MASCARPONE SWIRLS,"AS A LIMITED BATCH THAT CAPTURED THE RAPTURE OF THE CLASSIC SICILIAN DESSERT, OUR CANNOLI CAPTIVATED FANS LIKE NO OTHER CANNOLI COULD. NOW THAT IT’S A FULL-TIME FLAVOR, YOU AND YOUR CANNOLI CAN RE-CAPTURE THE RAPTURE ALL OVER AGAIN.",3.6,70,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER),  WATER, CORN SYRUP, COCONUT OIL, SUGAR, DRIED CANE SYRUP, EGG YOLKS, WHEAT FLOUR, MILK, COCOA, NATURAL FLAVOR, GUAR GUM, SOY LECITHIN, BUTTER OIL, NATURAL FLAVORS, LOCUST BEAN GUM, SALT, CITRIC ACID, VANILLA BEAN SEEDS, SOYBEAN OIL, TAPIOCA STARCH, LACTIC ACID, CARRAGEENAN",MASCARPONE
4_bj,GIMME S’MORE!™,"TOASTED MARSHMALLOW ICE CREAM WITH CHOCOLATE COOKIE SWIRLS, GRAHAM CRACKER SWIRLS & FUDGE FLAKES","IT’S A GIMME: THERE’S ALWAYS ROOM FOR S’MORE. AND WE’RE PRETTY SURE YOU’LL WANT TO MAKE S’MORE ROOM IN YOUR FREEZER FOR THIS ‘SHMALLOWY-RICH, GRAHAM-GOOD-‘N-CHOCOLATEY CONCOCTION NOW THAT IT'S FULL TIME FLAVOR!.",4.5,281,"CREAM, SKIM MILK, WATER, LIQUID SUGAR (SUGAR, WATER), SUGAR, CANOLA OIL, SOYBEAN OIL, EGG YOLKS, CORN SYRUP, WHEAT FLOUR, COCONUT OIL, CORN STARCH, COCOA (PROCESSED WITH ALKALI), CORN SYRUP SOLIDS, COCOA, GRAHAM FLOUR, SALT, EGG WHITES, BUTTEROIL, TAPIOCA STARCH, GUAR GUM, SOY LECITHIN, BAKING SODA, NATURAL FLAVOR, MOLASSES, HONEY, VANILLA EXTRACT, PECTIN, CARAMELIZED SUGAR SYRUP, CARRAGEENAN",TOASTED MARSHMALLOW
5_bj,PEANUT BUTTER HALF BAKED®,CHOCOLATE & PEANUT BUTTER ICE CREAMS MIXED WITH GOBS OF PEANUT BUTTER COOKIE DOUGH & FUDGE BROWNIES,"IF YOU WERE MORE THAN A LITTLE BIT SMITTEN WITH HALF BAKED®’S PEANUT BUTTERY COUSIN WHEN IT WAS A LIMITED BATCH, WE EXPECT YOU COULD BE A WHOLE LOT SMITTENER NOW THAT IT’S A FULL-TIME FLAVOR. ENJOY!",4.9,14,"CREAM, LIQUID SUGAR (SUGAR, WATER), SKIM MILK, WATER, SUGAR, WHEAT FLOUR, PEANUTS, COCOA (PROCESSED WITH ALKALI), BROWN SUGAR, EGG YOLKS, COCOA POWDER, PEANUT OIL, SOYBEAN OIL, BUTTER (CREAM, SALT), INVERT CANE SUGAR, SALT, CHOCOLATE LIQUOR, EGGS, TAPIOCA FLOUR, PEANUT FLOUR, PEANUT EXTRACT, VANILLA EXTRACT, EGG WHITES, GUAR GUM, COCOA BUTTER, NATURAL FLAVOR, CARRAGEENAN, SOY LECITHIN, BAKING SODA, MALTED BARLEY FLOUR",CHOCOLATE & PEANUT BUTTER
6_bj,BERRY SWEET MASCARPONE,BLACKBERRY & MASCARPONE ICE CREAMS WITH SHORTBREAD COOKIES & FUDGE-COVERED ALMONDS,"FROM THE SWEET BLACKBERRY AND CRAZY CREAMY MASCARPONE ICE CREAMS TO THE SHORTBREAD COOKIES AND FUDGE-DUNKED ALMONDS, YOU’LL FALL IN LOVE WITH THIS FLAVOR FASTER THAN YOU CAN SAY “MASS-CAR-PO-NAY.”",4.6,10,"CREAM, SKIM MILK, WATER, LIQUID SUGAR (SUGAR, WATER), ROASTED ALMONDS (ALMONDS, PEANUT OIL), DRIED CANE SYRUP, EGG YOLKS, WHEAT FLOUR, COCONUT OIL, BLACKBERRY JUICE CONCENTRATE, BUTTER (CREAM, SALT), SUGAR, COCOA, SOYBEAN OIL, CORN SYRUP, SALT, BUTTEROIL, SOY LECITHIN, VANILLA EXTRACT, EGGS, GUAR GUM, MILK, NATURAL FLAVORS, BAKING SODA, TAPIOCA STARCH, CARRAGEENAN, LACTIC ACID, CITRIC ACID",BLACKBERRY & MASCARPONE
7_bj,CHOCOLATE PEANUT BUTTER SPLIT,CHOCOLATE & BANANA ICE CREAMS WITH MINI PEANUT BUTTER CUPS,"WE’VE LOADED OUR BANANA AND CHOCOLATE ICE CREAMS WITH A CHOCOLATEY LOT OF BITE-SIZE PB SURPRISES, SO IF YOU FIND YOUR CHOCOLATE-COVERED, PEANUT-BUTTERED BANANA FANTASIES AREN’T FULFILLED IN EVERY SPOONFUL, WE SUGGEST A BIGGER SPOON.",5.0,7,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, PEANUTS, COCONUT OIL, BANANA PUREE, COCOA (PROCESSED WITH ALKALI), EGG YOLKS, MILK, NONFAT MILK, GUAR GUM, NATURAL FLAVORS, LEMON JUICE CONCENTRATE, SALT, COCOA, SOY LECITHIN, VANILLA EXTRACT, CARRAGEENAN",CHOCOLATE & BANANA
8_bj,JUSTICE REMIX'D ™,CINNAMON & CHOCOLATE ICE CREAMS WITH GOBS OF CINNAMON BUN DOUGH & SPICY FUDGE BROWNIES,"NOW SERVING JUSTICE REMIX’D: THE FLAVOR AND ACTION CAMPAIGN DEDICATED TO CRIMINAL JUSTICE REFORM. WE’RE PROUD TO WORK WITH ADVANCEMENT PROJECT NATIONAL OFFICE IN SUPPORTING REFORMS THAT INVEST IN PEOPLE INSTEAD OF PRISONS. TOGETHER WE CAN TRANSFORM THE SYSTEM TO DELIVER JUSTICE FOR ALL, INSTEAD OF JUST SOME. JOIN US AT BENJERRY.COM/JUSTICE.",4.3,110,"CREAM, LIQUID SUGAR (SUGAR, WATER), SKIM MILK, WATER, SUGAR, WHEAT FLOUR, DRIED CANE SYRUP, COCOA (PROCESSED WITH ALKALI), EGG YOLKS, COCOA POWDER, SOYBEAN OIL, INVERT SUGAR, BUTTER (CREAM, SALT), COCONUT OIL, MOLASSES, SALT, EGGS, SPICES, BAKING SODA, CORN SYRUP, SOY LECITHIN, EGG WHITES, GUAR GUM, CINNAMON, NATURAL FLAVOR, CARRAGEENAN, VANILLA EXTRACT, MALTED BARLEY FLOUR",CINNAMON & CHOCOLATE
9_bj,BOOTS ON THE MOOOO’N™,A UNIVERSE OF MILK CHOCOLATE ICE CREAM WITH FUDGE COWS & TOFFEE METEOR CLUSTERS ORBITING A SUGAR COOKIE DOUGH CORE,"WHILE SPACE FORCE WORKS TO GET BOOTS (BACK) ON THE MOON, THIS COSMIC CONCOCTION WILL LAUNCH YOUR DREAMS INTO ORBIT. WITH FUDGY ASTRONAUT COWS & TOFFEE METEORS, SPACE COULDN'T BE ANY SWEETER. UNLESS THE MOON WAS MADE OUT OF SUGAR COOKIE DOUGH. WHICH FOR THIS LIMITED-TIME FLAVOR, IT ACTUALLY IS!
VIEW ALL OF OUR NETFLIX INSPIRED FLAVORS",4.7,42,"CREAM, LIQUID SUGAR (SUGAR, WATER), SKIM MILK, WATER, SUGAR, COCOA (PROCESSED WITH ALKALI), SOYBEAN OIL, COCONUT OIL, WHEAT FLOUR, CORN SYRUP, ALMONDS, BUTTER (CREAM, SALT), EGG YOLKS, VANILLA EXTRACT, SALT, NATURAL FLAVORS, EGGS, GUAR GUM, COCOA, SOY LECITHIN, MILK, BAKING SODA, CARRAGEENAN",MILK CHOCOLATE
10_bj,AMERICONE DREAM®,VANILLA ICE CREAM WITH FUDGE-COVERED WAFFLE CONE PIECES & A CARAMEL SWIRL,"FOUNDED IN FUDGE-COVERED WAFFLE CONES, THIS CARAMEL-SWIRLED CONCOCTION IS THE ONLY FLAVOR THAT GETS A S'CREAM OF APPROVAL FROM THE LATE SHOW HOST, STEPHEN COLBERT. WHAT'S SWEETER IS THIS FLAVOR SUPPORTS CHARITABLE CAUSES THROUGH THE STEPHEN COLBERT AMERICONE DREAM FUND.",4.7,370,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, CORN SYRUP, DRIED CANE SYRUP, SUGAR, WHEAT FLOUR, EGG YOLKS, COCONUT OIL, BUTTER (CREAM, SALT), COCOA, VANILLA EXTRACT, NATURAL FLAVOR, SOY LECITHIN, SALT, BUTTER OIL, MILK, CARRAGEENAN, GUAR GUM, SOYBEAN OIL, BAKING SODA",VANILLA
11_bj,BOURBON PECAN PIE,"BUTTERY BOURBON ICE CREAM WITH PECANS, SHORTBREAD COOKIE PIECES & A WHISKEY CARAMEL SWIRL",NOT LONG AGO WE SCOOP-TOURED THROUGH TEXAS ASKING YOU TO ELECT THE BEST OF TWO TEXAS-INSPIRED FLAVORS. THANKS TO YOU THIS BOURBON-Y WHIRL OF PECANS AND COOKIES WRAPPED IN WHISKEY-KISSED CARAMEL IS NOW AVAILABLE TEX-CLUSIVELY!,4.6,9,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, CORN SYRUP, PECANS, BUTTER (CREAM, SALT), WHEAT FLOUR, EGG YOLKS, SUGAR, DRIED CANE SYRUP, WHISKEY, DRY MALT EXTRACT (BARLEY), SOYBEAN OIL, SALT, EGGS, CARAMEL COLOR, PEANUT OIL, GUAR GUM, BAKING SODA, CARRAGEENAN, SOY LECITHIN. MAY CONTAIN OTHER TREE NUTS",BUTTERY BOURBON
12_bj,BREWED TO MATTER™,COFFEE ICE CREAM WITH FUDGE CHUNKS & A BROWNIE BATTER SWIRL,"WE'RE THRILLED TO ADD THIS MADE-TO-MATTER, BROWNIE BATTER-SWIRLED BATCHFUL OF COFFEE AWESOMENESS TO THE BEN & JERRY'S FAMILY OF FLAVORS. IT PACKS A POWERFUL PINTFUL OF GOODNESS THAT'S GUARANTEED TO AMAZE YOU WITH EVERY CONSCIOUSLY CONCOCTED BITE.",4.7,35,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, COFFEE EXTRACT, COCONUT OIL, EGG YOLKS, COCOA PROCESSED WITH ALKALI, WHEAT FLOUR, BUTTER (CREAM, SALT), CHOCOLATE LIQUOR, CORN SYRUP, COCOA POWDER, CANOLA OIL, GUAR GUM, SOY LECITHIN, SALT, CARRAGEENAN, NATURAL FLAVOR, MILK FAT, BAKING SODA, VANILLA EXTRACT",COFFEE
13_bj,CARAMEL CHOCOLATE CHEESECAKE,CARAMEL CHEESECAKE ICE CREAM WITH CHEESECAKE PIECES & CHOCOLATE COOKIE SWIRLS,"IN YOUR CHEESECAKE DREAMS, IS IT LIKE YOU’RE SPOONING THROUGH A WORLD OF CARAMEL CHEESECAKE ICE CREAM SWIRLED WITH CHOCOLATE COOKIES IN A WONDERLAND FILLED WITH CHUNKS OF CHEESECAKE? HELLO? YOU CAN WAKE UP NOW…",4.0,133,"CREAM, SKIM MILK, WATER, LIQUID SUGAR (SUGAR, WATER), SUGAR, CORN SYRUP, CANOLA OIL, CREAM CHEESE (PASTEURIZED MILK, CREAM, CHEESE CULTURES, SALT, CAROB BEAN GUM), COCONUT OIL, EGG YOLKS, WHEAT FLOUR, DRIED CANE SYRUP, SOYBEAN OIL, GRAHAM FLOUR, EGGS, COCOA (PROCESSED WITH ALKALI), NATURAL FLAVORS, COCOA, GUAR GUM, BUTTEROIL, MILK PROTEIN CONCENTRATE, CORN STARCH, SALT, SOY LECITHIN, TAPIOCA STARCH, PECTIN, CARAMELIZED SUGAR SYRUP, BAKING SODA, MOLASSES, HONEY, CARRAGEENAN, VANILLA EXTRACT",CARAMEL CHEESECAKE
14_bj,CHERRY GARCIA®,CHERRY ICE CREAM WITH CHERRIES & FUDGE FLAKES,"OUR EUPHORICALLY EDIBLE TRIBUTE TO GUITARIST JERRY GARCIA & GRATEFUL DEAD FANS EVERYWHERE, IT’S THE FIRST ICE CREAM NAMED FOR A ROCK LEGEND AND THE MOST FAMOUS OF OUR FAN-SUGGESTED FLAVORS.",4.4,153,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, CHERRIES, SUGAR, EGG YOLKS, COCONUT OIL, COCOA (PROCESSED WITH ALKALI), FRUIT AND VEGETABLE CONCENTRATES (COLOR), COCOA POWDER, GUAR GUM, NATURAL FLAVORS, LEMON JUICE CONCENTRATE, CARRAGEENAN, MILK FAT, SOY LECITHIN",CHERRY
15_bj,CHILLIN' THE ROAST™,COLD BREW COFFEE ICE CREAM WITH CHOCOLATE COOKIE-COVERED COFFEE LIQUEUR TRUFFLES & FUDGE SWIRLS,"OUR COLD BREW COFFEE ICE CREAM NOT ONLY DELIVERS A CHILLACIOUS BLAST OF CREAMY CAFFEINATION, IT’S ALSO LOADED WITH ENOUGH COFFEE LIQUEUR-FILLED, COOKIE CRUMBLE-COVERED TRUFFLES TO FUEL A TRUFFOLUTION.",3.3,172,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, COCONUT OIL, EGG YOLKS, BUTTER (CREAM, SALT), COFFEE, WHEAT FLOUR, MILK PROTEIN CONCENTRATE, COCOA (PROCESSED WITH ALKALI), SOYBEAN OIL, GUAR GUM, NATURAL FLAVOR, SALT, CORN STARCH, CANOLA OIL, RUM, SOY LECITHIN, CHOCOLATE, BAKING SODA, CARRAGEENAN",COLD BREW COFFEE
16_bj,CHOCOLATE CHIP COOKIE DOUGH,VANILLA ICE CREAM WITH GOBS OF CHOCOLATE CHIP COOKIE DOUGH,WE KNEW WE WERE ONTO SOMETHING BIG WHEN WE MADE THE WORLD’S FIRST BATCH OF CHOCOLATE CHIP COOKIE DOUGH ICE CREAM IN 1984. TODAY THE FLAVOR STILL REIGNS AMONG OUR ALL-TIME MOST POPULAR CONCOCTIONS.,4.6,983,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, WHEAT FLOUR, SUGAR, BROWN SUGAR, EGG YOLKS, BUTTER (CREAM, SALT), EXPELLER PRESSED SOYBEAN OIL, EGGS, COCONUT OIL, CHOCOLATE LIQUOR, VANILLA EXTRACT, COCOA (PROCESSED WITH ALKALI), COCOA POWDER, SALT, MOLASSES, GUAR GUM, COCOA BUTTER, NATURAL FLAVOR, CARRAGEENAN, MILK FAT, SOY LECITHIN",VANILLA
